accession	Kingdom	Phylum	Class	Order	Family	Genus	OTU
K02121						V/A-type H+/Na+-transporting ATPase subunit E	K02121
K02122						V/A-type H+/Na+-transporting ATPase subunit F	K02122
K02123						V/A-type H+/Na+-transporting ATPase subunit I	K02123
K02124						V/A-type H+/Na+-transporting ATPase subunit K	K02124
K02125						F-type H+-transporting ATPase subunit 8	K02125
K02126						F-type H+-transporting ATPase subunit a	K02126
K02127						F-type H+-transporting ATPase subunit b	K02127
K02128						F-type H+-transporting ATPase subunit c	K02128
K02133						F-type H+-transporting ATPase subunit beta [EC:7.1.2.2]	K02133
K02136						F-type H+-transporting ATPase subunit gamma	K02136
K02138						F-type H+-transporting ATPase subunit d	K02138
K02139						F-type H+-transporting ATPase subunit f	K02139
K02140						F-type H+-transporting ATPase subunit g	K02140
K02141						F-type H+-transporting ATPase subunit h	K02141
K02143						F-type H+-transporting ATPase subunit k	K02143
K02144						V-type H+-transporting ATPase subunit H	K02144
K02145						V-type H+-transporting ATPase subunit A [EC:7.1.2.2]	K02145
K02146						V-type H+-transporting ATPase subunit d	K02146
K02148						V-type H+-transporting ATPase subunit C	K02148
K02149						V-type H+-transporting ATPase subunit D	K02149
K02150						V-type H+-transporting ATPase subunit E	K02150
K02152						V-type H+-transporting ATPase subunit G	K02152
K02154						V-type H+-transporting ATPase subunit a	K02154
K02155						V-type H+-transporting ATPase 16kDa proteolipid subunit	K02155
K02160						acetyl-CoA carboxylase biotin carboxyl carrier protein	K02160
K02164						nitric oxide reductase NorE protein	K02164
K02167						"TetR/AcrR family transcriptional regulator, transcriptional repressor of bet genes"	K02167
K02169						malonyl-CoA O-methyltransferase [EC:2.1.1.197]	K02169
K02170						pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]	K02170
K02171						"BlaI family transcriptional regulator, penicillinase repressor"	K02171
K02172						bla regulator protein blaR1	K02172
K02179						cell cycle arrest protein BUB2	K02179
K02182						carnitine-CoA ligase [EC:6.2.1.48]	K02182
K02183						calmodulin	K02183
K02188						cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195]	K02188
K02189						cobalt-precorrin 5A hydrolase [EC:3.7.1.12]	K02189
K02192						bacterioferritin-associated ferredoxin	K02192
K02193						heme exporter protein A [EC:7.6.2.5]	K02193
K02194						heme exporter protein B	K02194
K02195						heme exporter protein C	K02195
K02196						heme exporter protein D	K02196
K02197						cytochrome c-type biogenesis protein CcmE	K02197
K02198						cytochrome c-type biogenesis protein CcmF	K02198
K02199						"cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE"	K02199
K02200						cytochrome c-type biogenesis protein CcmH	K02200
K02201						pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	K02201
K02202						cyclin-dependent kinase 7 [EC:2.7.11.22 2.7.11.23]	K02202
K02203						phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39]	K02203
K02204						homoserine kinase type II [EC:2.7.1.39]	K02204
K02207						ubiquitin-conjugating enzyme E2 R [EC:2.3.2.23]	K02207
K02208						cyclin-dependent kinase 8/11 [EC:2.7.11.22 2.7.11.23]	K02208
K02209						DNA replication licensing factor MCM5 [EC:3.6.4.12]	K02209
K02210						DNA replication licensing factor MCM7 [EC:3.6.4.12]	K02210
K02212						DNA replication licensing factor MCM4 [EC:3.6.4.12]	K02212
K02213						cell division control protein 6	K02213
K02214						cell division control protein 7 [EC:2.7.11.1]	K02214
K02216						serine/threonine-protein kinase CHEK1 [EC:2.7.11.1]	K02216
K02217						ferritin [EC:1.16.3.2]	K02217
K02221						YggT family protein	K02221
K02224						"cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]"	K02224
K02225						cobalamin biosynthesis protein CobC	K02225
K02226						alpha-ribazole phosphatase [EC:3.1.3.73]	K02226
K02227						adenosylcobinamide-phosphate synthase [EC:6.3.1.10]	K02227
K02228						precorrin-6A synthase [EC:2.1.1.152]	K02228
K02229						precorrin-3B synthase [EC:1.14.13.83]	K02229
K02230						cobaltochelatase CobN [EC:6.6.1.2]	K02230
K02231						adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]	K02231
K02232						adenosylcobyric acid synthase [EC:6.3.5.10]	K02232
K02233						adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]	K02233
K02234						cobalamin biosynthesis protein CobW	K02234
K02237						competence protein ComEA	K02237
K02238						competence protein ComEC	K02238
K02241						competence protein ComFB	K02241
K02242						competence protein ComFC	K02242
K02243						competence protein ComGA	K02243
K02244						competence protein ComGB	K02244
K02251						competence protein ComQ	K02251
K02256						cytochrome c oxidase subunit 1 [EC:7.1.1.9]	K02256
K02257						heme o synthase [EC:2.5.1.141]	K02257
K02258						cytochrome c oxidase assembly protein subunit 11	K02258
K02259						cytochrome c oxidase assembly protein subunit 15	K02259
K02261						cytochrome c oxidase subunit 2	K02261
K02262						cytochrome c oxidase subunit 3	K02262
K02263						cytochrome c oxidase subunit 4	K02263
K02264						cytochrome c oxidase subunit 5a	K02264
K02265						cytochrome c oxidase subunit 5b	K02265
K02274						cytochrome c oxidase subunit I [EC:7.1.1.9]	K02274
K02275						cytochrome c oxidase subunit II [EC:7.1.1.9]	K02275
K02276						cytochrome c oxidase subunit III [EC:7.1.1.9]	K02276
K02277						cytochrome c oxidase subunit IV [EC:7.1.1.9]	K02277
K02278						prepilin peptidase CpaA [EC:3.4.23.43]	K02278
K02279						pilus assembly protein CpaB	K02279
K02280						pilus assembly protein CpaC	K02280
K02281						pilus assembly protein CpaD	K02281
K02282						pilus assembly protein CpaE	K02282
K02283						pilus assembly protein CpaF [EC:7.4.2.8]	K02283
K02288						phycocyanobilin lyase subunit alpha [EC:4.4.1.32]	K02288
K02289						phycocyanobilin lyase subunit beta [EC:4.4.1.32]	K02289
K02291						15-cis-phytoene synthase [EC:2.5.1.32]	K02291
K02294						beta-carotene hydroxylase [EC:1.14.13.-]	K02294
K02295						cryptochrome	K02295
K02297						cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]	K02297
K02298						cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]	K02298
K02299						cytochrome o ubiquinol oxidase subunit III	K02299
K02300						cytochrome o ubiquinol oxidase subunit IV	K02300
K02302						uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]	K02302
K02303						uroporphyrin-III C-methyltransferase [EC:2.1.1.107]	K02303
K02304						precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:1.3.1.76 4.99.1.4]	K02304
K02305						nitric oxide reductase subunit C	K02305
K02307						DASH complex subunit DAM1	K02307
K02309						regulatory subunit for Cdc7p protein kinase	K02309
K02313						chromosomal replication initiator protein	K02313
K02314						replicative DNA helicase [EC:3.6.4.12]	K02314
K02315						DNA replication protein DnaC	K02315
K02316						DNA primase [EC:2.7.7.101]	K02316
K02320						DNA polymerase alpha subunit A [EC:2.7.7.7]	K02320
K02321						DNA polymerase alpha subunit B	K02321
K02324						DNA polymerase epsilon subunit 1 [EC:2.7.7.7]	K02324
K02325						DNA polymerase epsilon subunit 2 [EC:2.7.7.7]	K02325
K02327						DNA polymerase delta subunit 1 [EC:2.7.7.7]	K02327
K02328						DNA polymerase delta subunit 2	K02328
K02331						DNA polymerase phi [EC:2.7.7.7]	K02331
K02332						DNA polymerase gamma 1 [EC:2.7.7.7]	K02332
K02334						DNA polymerase bacteriophage-type [EC:2.7.7.7]	K02334
K02335						DNA polymerase I [EC:2.7.7.7]	K02335
K02336						DNA polymerase II [EC:2.7.7.7]	K02336
K02337						DNA polymerase III subunit alpha [EC:2.7.7.7]	K02337
K02338						DNA polymerase III subunit beta [EC:2.7.7.7]	K02338
K02339						DNA polymerase III subunit chi [EC:2.7.7.7]	K02339
K02340						DNA polymerase III subunit delta [EC:2.7.7.7]	K02340
K02341						DNA polymerase III subunit delta' [EC:2.7.7.7]	K02341
K02342						DNA polymerase III subunit epsilon [EC:2.7.7.7]	K02342
K02343						DNA polymerase III subunit gamma/tau [EC:2.7.7.7]	K02343
K02346						DNA polymerase IV [EC:2.7.7.7]	K02346
K02347						DNA polymerase (family X)	K02347
K02348						ElaA protein	K02348
K02350						DNA polymerase zeta [EC:2.7.7.7]	K02350
K02351						putative membrane protein	K02351
K02355						elongation factor G	K02355
K02356						elongation factor P	K02356
K02357						elongation factor Ts	K02357
K02358						elongation factor Tu	K02358
K02359						"beta-1,4-mannosyltransferase [EC:2.4.1.-]"	K02359
K02361						isochorismate synthase [EC:5.4.4.2]	K02361
K02362						enterobactin synthetase component D [EC:6.3.2.14 2.7.8.-]	K02362
K02365						separase [EC:3.4.22.49]	K02365
K02371						enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]	K02371
K02372						3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	K02372
K02377						GDP-L-fucose synthase [EC:1.1.1.271]	K02377
K02379						FdhD protein	K02379
K02380						FdhE protein	K02380
K02381						FdrA protein	K02381
K02383						flagellar protein FlbB	K02383
K02385						flagellar protein FlbD	K02385
K02386						flagellar basal body P-ring formation protein FlgA	K02386
K02387						flagellar basal-body rod protein FlgB	K02387
K02388						flagellar basal-body rod protein FlgC	K02388
K02389						flagellar basal-body rod modification protein FlgD	K02389
K02390						flagellar hook protein FlgE	K02390
K02391						flagellar basal-body rod protein FlgF	K02391
K02392						flagellar basal-body rod protein FlgG	K02392
K02393						flagellar L-ring protein FlgH	K02393
K02394						flagellar P-ring protein FlgI	K02394
K02395						peptidoglycan hydrolase FlgJ	K02395
K02396						flagellar hook-associated protein 1	K02396
K02397						flagellar hook-associated protein 3 FlgL	K02397
K02398						negative regulator of flagellin synthesis FlgM	K02398
K02399						flagellar biosynthesis protein FlgN	K02399
K02400						flagellar biosynthesis protein FlhA	K02400
K02401						flagellar biosynthesis protein FlhB	K02401
K02402						flagellar transcriptional activator FlhC	K02402
K02403						flagellar transcriptional activator FlhD	K02403
K02404						flagellar biosynthesis protein FlhF	K02404
K02405						RNA polymerase sigma factor FliA	K02405
K02406						flagellin	K02406
K02407						flagellar hook-associated protein 2	K02407
K02408						flagellar hook-basal body complex protein FliE	K02408
K02409						flagellar M-ring protein FliF	K02409
K02410						flagellar motor switch protein FliG	K02410
K02411						flagellar assembly protein FliH	K02411
K02412						flagellum-specific ATP synthase [EC:7.4.2.8]	K02412
K02413						flagellar protein FliJ	K02413
K02414						flagellar hook-length control protein FliK	K02414
K02415						flagellar protein FliL	K02415
K02416						flagellar motor switch protein FliM	K02416
K02417						flagellar motor switch protein FliN	K02417
K02418						flagellar protein FliO/FliZ	K02418
K02419						flagellar biosynthesis protein FliP	K02419
K02420						flagellar biosynthesis protein FliQ	K02420
K02421						flagellar biosynthesis protein FliR	K02421
K02422						flagellar secretion chaperone FliS	K02422
K02423						flagellar protein FliT	K02423
K02424						L-cystine transport system substrate-binding protein	K02424
K02426						cysteine desulfuration protein SufE	K02426
K02427						23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]	K02427
K02428						XTP/dITP diphosphohydrolase [EC:3.6.1.66]	K02428
K02429						"MFS transporter, FHS family, L-fucose permease"	K02429
K02431						L-fucose mutarotase [EC:5.1.3.29]	K02431
K02433						aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]	K02433
K02434						aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]	K02434
K02435						aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]	K02435
K02437						glycine cleavage system H protein	K02437
K02438						glycogen debranching enzyme [EC:3.2.1.196]	K02438
K02439						thiosulfate sulfurtransferase [EC:2.8.1.1]	K02439
K02440						glycerol uptake facilitator protein	K02440
K02441						GlpG protein	K02441
K02443						glycerol uptake operon antiterminator	K02443
K02444						"DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor"	K02444
K02445						"MFS transporter, OPA family, glycerol-3-phosphate transporter"	K02445
K02446						"fructose-1,6-bisphosphatase II [EC:3.1.3.11]"	K02446
K02448						nitric oxide reductase NorD protein	K02448
K02450						general secretion pathway protein A	K02450
K02451						general secretion pathway protein B	K02451
K02452						general secretion pathway protein C	K02452
K02453						general secretion pathway protein D	K02453
K02454						general secretion pathway protein E [EC:7.4.2.8]	K02454
K02455						general secretion pathway protein F	K02455
K02456						general secretion pathway protein G	K02456
K02457						general secretion pathway protein H	K02457
K02458						general secretion pathway protein I	K02458
K02459						general secretion pathway protein J	K02459
K02460						general secretion pathway protein K	K02460
K02461						general secretion pathway protein L	K02461
K02462						general secretion pathway protein M	K02462
K02463						general secretion pathway protein N	K02463
K02469						DNA gyrase subunit A [EC:5.6.2.2]	K02469
K02470						DNA gyrase subunit B [EC:5.6.2.2]	K02470
K02471						vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein	K02471
K02472						UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]	K02472
K02473						UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine 4-epimerase [EC:5.1.3.7 5.1.3.-]	K02473
K02474						UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.136 1.1.1.-]	K02474
K02476						"two-component system, CitB family, sensor kinase [EC:2.7.13.3]"	K02476
K02477						"two-component system, LytTR family, response regulator"	K02477
K02478						"two-component system, LytTR family, sensor kinase [EC:2.7.13.3]"	K02478
K02480						"two-component system, NarL family, sensor kinase [EC:2.7.13.3]"	K02480
K02481						"two-component system, NtrC family, response regulator"	K02481
K02482						"two-component system, NtrC family, sensor kinase [EC:2.7.13.3]"	K02482
K02483						"two-component system, OmpR family, response regulator"	K02483
K02484						"two-component system, OmpR family, sensor kinase [EC:2.7.13.3]"	K02484
K02488						"two-component system, cell cycle response regulator [EC:2.7.7.65]"	K02488
K02490						"two-component system, response regulator, stage 0 sporulation protein F"	K02490
K02492						glutamyl-tRNA reductase [EC:1.2.1.70]	K02492
K02493						release factor glutamine methyltransferase [EC:2.1.1.297]	K02493
K02494						outer membrane lipoprotein LolB	K02494
K02495						oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]	K02495
K02496						uroporphyrin-III C-methyltransferase [EC:2.1.1.107]	K02496
K02497						HemX protein	K02497
K02498						HemY protein	K02498
K02499						tetrapyrrole methylase family protein / MazG family protein	K02499
K02500						imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]	K02500
K02501						imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]	K02501
K02502						ATP phosphoribosyltransferase regulatory subunit	K02502
K02503						histidine triad (HIT) family protein	K02503
K02508						"AraC family transcriptional regulator, 4-hydroxyphenylacetate 3-monooxygenase operon regulatory protein"	K02508
K02509						"2-oxo-hept-3-ene-1,7-dioate hydratase [EC:4.2.1.-]"	K02509
K02510						4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]	K02510
K02516						type II protein arginine methyltransferase [EC:2.1.1.320]	K02516
K02517						Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]	K02517
K02518						translation initiation factor IF-1	K02518
K02519						translation initiation factor IF-2	K02519
K02520						translation initiation factor IF-3	K02520
K02521						"LysR family transcriptional regulator, positive regulator for ilvC"	K02521
K02523						octaprenyl-diphosphate synthase [EC:2.5.1.90]	K02523
K02525						"LacI family transcriptional regulator, kdg operon repressor"	K02525
K02526						2-keto-3-deoxygluconate permease	K02526
K02527						3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	K02527
K02528						16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]	K02528
K02529						LacI family transcriptional regulator	K02529
K02533						tRNA/rRNA methyltransferase [EC:2.1.1.-]	K02533
K02535						UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]	K02535
K02536						UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]	K02536
K02537						mitotic spindle assembly checkpoint protein MAD2	K02537
K02540						DNA replication licensing factor MCM2 [EC:3.6.4.12]	K02540
K02541						DNA replication licensing factor MCM3 [EC:3.6.4.12]	K02541
K02542						DNA replication licensing factor MCM6 [EC:3.6.4.12]	K02542
K02548						"1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]"	K02548
K02549						o-succinylbenzoate synthase [EC:4.2.1.113]	K02549
K02551						2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]	K02551
K02552						menaquinone-specific isochorismate synthase [EC:5.4.4.2]	K02552
